"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"Y8","PB1","I/O","ADC1_INP5","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","I2S1_CK/SPI1_SCK","DFSDM1_DATIN1","UART4_RX","","","","ETH1_RXD3","","","",""
"Y9","PC1","I/O","ADC2_INP2","","","","","DFSDM1_DATIN0","","","SAI1_D3","","","","ETH1_CRS_DV/ETH1_RX_DV","ETH1_GTX_CLK","","","",""
"Y10","PG14","I/O","","","","LPTIM1_ETR","","","","","SAI2_D1","USART6_TX","","","SAI2_SD_A","ETH1_TXD1","","","",""
"Y11","NRST","Reset","","","","","","","","","","","","","","","","","",""
"Y12","PF15","I/O","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","","","","",""
"Y13","USB_DM2","MonoIO","USB_OTG_HS_DM","","","","","","","","","","","","","","","","",""
"Y14","VSS_USBHS","Power","","","","","","","","","","","","","","","","","",""
"Y15","PI6-BOOT2","I/O","","","","","","","","","","","","","","","","","",""
"Y16","USB_DP1","MonoIO","USBH_HS1_DP","","","","","","","","","","","","","","","","",""
"Y17","PI4-BOOT0","I/O","","","","","","","","","","","","","","","","","",""
"Y18","VDD_PLL2","Power","","","","","","","","","","","","","","","","","",""
"Y19","PH4","I/O","DEBUG_JTDI","","","","","","","","","","","","","","","","",""
"Y20","DDR_DQ15","MonoIO","DDR_DQ15","","","","","","","","","","","","","","","","",""
"Y21","DDR_DQ14","MonoIO","DDR_DQ14","","","","","","","","","","","","","","","","",""
"AA1","VSS","Power","","","","","","","","","","","","","","","","","",""
"AA2","PB11","I/O","","","","TIM2_CH4","","LPTIM1_OUT","I2C5_SMBA","","","USART3_RX","","","","ETH1_TX_CTL/ETH1_TX_EN","","","",""
"AA3","PA1","I/O","ADC1_INP3","","","TIM2_CH2","TIM5_CH2","LPTIM3_OUT","TIM15_CH1N","","DFSDM1_CKIN0","USART2_DE/USART2_RTS","","","","ETH1_REF_CLK/ETH1_RX_CLK","","","",""
"AA4","PF12","I/O","ADC1_INP6","","","","","","","I2S1_WS/SPI1_NSS","SAI1_SD_A","","UART4_TX","","ETH1_TX_ER","ETH1_CLK125","","","",""
"AA6","PA4","I/O","ADC1_INP14","","","","TIM5_ETR","USART2_CK","SAI1_SCK_B","I2S1_WS/SPI1_NSS","DFSDM1_CKIN1","","","","ETH1_PPS_OUT","ETH2_PPS_OUT","SAI1_SCK_A","","",""
"AA7","PC5","I/O","ADC1_INP10","","","","","DFSDM1_DATIN2","SAI2_D4","I2S_CKIN","SAI1_D4","USART2_CTS/USART2_NSS","","SPDIFRX_IN3","","ETH1_RXD1","","","",""
"AA9","PG13","I/O","ADC2_INP6","","","LPTIM1_OUT","","","","","","USART6_CTS/USART6_NSS","","","","ETH1_TXD0","","","",""
"AA10","PC2","I/O","ADC1_INP15","","","SPI5_NSS","","","","I2S1_WS/SPI1_NSS","SAI2_MCLK_A","USART1_DE/USART1_RTS","","","SAI2_CK1","ETH1_TXD2","","","",""
"AA12","PDR_ON","MonoIO","","","","","","","","","","","","","","","","","",""
"AA13","USB_DP2","MonoIO","USB_OTG_HS_DP","","","","","","","","","","","","","","","","",""
"AA15","PI5-BOOT1","I/O","","","","","","","","","","","","","","","","","",""
"AA16","USB_DM1","MonoIO","USBH_HS1_DM","","","","","","","","","","","","","","","","",""
"AA18","VSS_PLL2","Power","","","","","","","","","","","","","","","","","",""
"AA19","PA10","I/O","","","","TIM1_CH3","","","","","","","","","","","","","",""
"AA20","PI7","I/O","USB_OTG_HS_VBUS","","","","","","","","","","","","","","","","",""
"AA21","VSS","Power","","","","","","","","","","","","","","","","","",""
